A0A0G2JPB7	GO:0009897;GO:0009897
SELP	GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886;GO:0009897;GO:0009897;GO:0009897;GO:0031088;GO:0031088;GO:0031088;GO:0031092;GO:0031092;GO:0031092
SELPLG	GO:0001931;GO:0005886;GO:0016020;GO:0044853
SEM1	GO:0000502;GO:0000502
SEMA3A	GO:0005576;GO:0005576;GO:0030425;GO:0030425;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0030424;GO:0030424
SEMA3B	GO:0005783;GO:0005783;GO:0005783;GO:0062023;GO:0062023;GO:0062023;GO:0005886;GO:0005886;GO:0005886;GO:0005615;GO:0005615;GO:0005615
SEMA3C	GO:0070062;GO:0070062;GO:0005886;GO:0005886;GO:0005615;GO:0005615
SEMA3D	GO:0005886;GO:0005886;GO:0005615;GO:0005615
SEMA3E	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886
SEMA3F	GO:0098978;GO:0005615;GO:0005886
SEMA3G	GO:0070062;GO:0005886;GO:0005615
SEMA4A	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005615;GO:0005615;GO:0005615;GO:0005615
SEMA4B	GO:0098839;GO:0098839;GO:0098839;GO:0098839;GO:0098978;GO:0098978;GO:0098978;GO:0098978;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886;GO:0005886
SEMA4C	GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0014069;GO:0014069;GO:0014069;GO:0014069;GO:0030672;GO:0030672;GO:0030672;GO:0030672;GO:0098839;GO:0098839;GO:0098839;GO:0098839;GO:0005886;GO:0005886;GO:0005886;GO:0005886
SEMA4D	GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886;GO:0005886
SEMA4F	GO:0005783;GO:0005783;GO:0005783;GO:0016020;GO:0016020;GO:0016020;GO:0030425;GO:0030425;GO:0030425;GO:0043204;GO:0043204;GO:0043204;GO:0098839;GO:0098839;GO:0098839;GO:0098978;GO:0098978;GO:0098978;GO:0005886;GO:0005886;GO:0005886;GO:0005615;GO:0005615;GO:0005615
SEMA4G	GO:0005615;GO:0005615;GO:0005886;GO:0005886
SEMA5A	GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0070062;GO:0070062
SEMA5B	GO:0016020;GO:0016020;GO:0016020;GO:0016020
SEMA6A	GO:0016020;GO:0016020;GO:0016020;GO:0030424;GO:0030424;GO:0030424;GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886
SEMA6B	GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886;GO:0005886
SEMA6C	GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886
SEMA6D	GO:0005794;GO:0005794;GO:0005886;GO:0005886;GO:0005615;GO:0005615
SEMA7A	GO:0062023;GO:0062023;GO:0062023;GO:0005886;GO:0005886;GO:0005886;GO:0009897;GO:0009897;GO:0009897;GO:0016020;GO:0016020;GO:0016020;GO:0005615;GO:0005615;GO:0005615
SEMG1	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005634;GO:0005634;GO:0070062;GO:0070062;GO:0032991;GO:0032991
SEMG2	GO:0005615;GO:0005634;GO:0070062
SENP1	GO:0005654;GO:0005737;GO:0005925;GO:0031965;GO:0005634
SENP2	GO:0016605;GO:0016605;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0031965;GO:0031965;GO:0005643;GO:0005643;GO:0005634;GO:0005634
SENP3	GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005737;GO:0071339;GO:0071339;GO:0071339;GO:0005634;GO:0005634;GO:0005634
SENP5	GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005634;GO:0005634
SENP6	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737
SENP7	GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005634;GO:0005634;GO:0005634;GO:0005634
SENP8	GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829
SEPHS1	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0031965;GO:0031965;GO:0031965;GO:0031965;GO:0005737;GO:0005737;GO:0005737;GO:0005737
SEPHS2	GO:0005575;GO:0005575;GO:0005829;GO:0005829;GO:0005737;GO:0005737
SEPSECS	GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005829;GO:0005829
SEPTIN1	GO:0005815;GO:0005815;GO:0005815;GO:0005815;GO:0030496;GO:0030496;GO:0030496;GO:0030496;GO:0072687;GO:0072687;GO:0072687;GO:0072687;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0015630;GO:0015630;GO:0015630;GO:0015630
SEPTIN10	GO:0031514;GO:0031514;GO:0015630;GO:0015630;GO:0032153;GO:0032153;GO:0031105;GO:0031105;GO:0005940;GO:0005940
SEPTIN11	GO:0001725;GO:0001725;GO:0030424;GO:0030424;GO:0043197;GO:0043197;GO:0031105;GO:0031105;GO:0032153;GO:0032153;GO:0005940;GO:0005940;GO:0015630;GO:0015630
SEPTIN12	GO:0001725;GO:0001725;GO:0005634;GO:0005634;GO:0005819;GO:0005819;GO:0015630;GO:0015630;GO:0030496;GO:0030496;GO:0032154;GO:0032154;GO:0048471;GO:0048471;GO:0097227;GO:0097227;GO:0031105;GO:0031105;GO:0005940;GO:0005940;GO:0032153;GO:0032153
SEPTIN14	GO:0001669;GO:0001669;GO:0005737;GO:0005737;GO:0005856;GO:0005856;GO:0030424;GO:0030424;GO:0030425;GO:0030425;GO:0043204;GO:0043204;GO:0048471;GO:0048471;GO:0031105;GO:0031105;GO:0005940;GO:0005940;GO:0015630;GO:0015630;GO:0032153;GO:0032153
SEPTIN2	GO:0005938;GO:0005938;GO:0005938;GO:0005938;GO:0005938;GO:0000776;GO:0000776;GO:0000776;GO:0000776;GO:0000776;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005819;GO:0005819;GO:0005819;GO:0005819;GO:0005819;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005930;GO:0005930;GO:0005930;GO:0005930;GO:0005930;GO:0015629;GO:0015629;GO:0015629;GO:0015629;GO:0015629;GO:0030496;GO:0030496;GO:0030496;GO:0030496;GO:0030496;GO:0032154;GO:0032154;GO:0032154;GO:0032154;GO:0032154;GO:0032391;GO:0032391;GO:0032391;GO:0032391;GO:0032391;GO:0045171;GO:0045171;GO:0045171;GO:0045171;GO:0045171;GO:0060170;GO:0060170;GO:0060170;GO:0060170;GO:0060170;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0097227;GO:0097227;GO:0097227;GO:0097227;GO:0097227;GO:0097730;GO:0097730;GO:0097730;GO:0097730;GO:0097730;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0015630;GO:0015630;GO:0015630;GO:0015630;GO:0015630
SEPTIN3	GO:0098793;GO:0098793;GO:0098793;GO:0031105;GO:0031105;GO:0031105;GO:0043005;GO:0043005;GO:0043005;GO:0099569;GO:0099569;GO:0099569;GO:0032153;GO:0032153;GO:0032153;GO:0015630;GO:0015630;GO:0015630;GO:0005940;GO:0005940;GO:0005940
SEPTIN4	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005741;GO:0005741;GO:0005741;GO:0005741;GO:0005741;GO:0005741;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0043204;GO:0043204;GO:0043204;GO:0043204;GO:0043204;GO:0043204;GO:0097227;GO:0097227;GO:0097227;GO:0097227;GO:0097227;GO:0097227;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0015630;GO:0015630;GO:0015630;GO:0015630;GO:0015630;GO:0015630;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0005940
SEPTIN5	GO:0005886;GO:0005886;GO:0005886;GO:0008021;GO:0008021;GO:0008021;GO:0031105;GO:0031105;GO:0031105;GO:0015630;GO:0015630;GO:0015630;GO:0005940;GO:0005940;GO:0005940;GO:0032153;GO:0032153;GO:0032153
SEPTIN6	GO:0000776;GO:0000776;GO:0000776;GO:0000776;GO:0005819;GO:0005819;GO:0005819;GO:0005819;GO:0008021;GO:0008021;GO:0008021;GO:0008021;GO:0030496;GO:0030496;GO:0030496;GO:0030496;GO:0032154;GO:0032154;GO:0032154;GO:0032154;GO:0032173;GO:0032173;GO:0032173;GO:0032173;GO:0043679;GO:0043679;GO:0043679;GO:0043679;GO:0097227;GO:0097227;GO:0097227;GO:0097227;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0032153;GO:0032153;GO:0032153;GO:0032153;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0015630;GO:0015630;GO:0015630;GO:0015630
SEPTIN7	GO:0016324;GO:0016324;GO:0016324;GO:0000776;GO:0000776;GO:0000776;GO:0001725;GO:0001725;GO:0001725;GO:0005634;GO:0005634;GO:0005634;GO:0005819;GO:0005819;GO:0005819;GO:0005829;GO:0005829;GO:0005829;GO:0005930;GO:0005930;GO:0005930;GO:0030496;GO:0030496;GO:0030496;GO:0032154;GO:0032154;GO:0032154;GO:0070062;GO:0070062;GO:0070062;GO:0097227;GO:0097227;GO:0097227;GO:0097730;GO:0097730;GO:0097730;GO:0031105;GO:0031105;GO:0031105;GO:0015630;GO:0015630;GO:0015630;GO:0032153;GO:0032153;GO:0032153;GO:0005940;GO:0005940;GO:0005940
SEPTIN8	GO:0030424;GO:0030424;GO:0030424;GO:0030672;GO:0030672;GO:0030672;GO:0098793;GO:0098793;GO:0098793;GO:0031105;GO:0031105;GO:0031105;GO:0015630;GO:0015630;GO:0015630;GO:0032153;GO:0032153;GO:0032153;GO:0005940;GO:0005940;GO:0005940
SEPTIN9	GO:0001725;GO:0001725;GO:0001725;GO:0001725;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005874;GO:0005874;GO:0005874;GO:0005874;GO:0005930;GO:0005930;GO:0005930;GO:0005930;GO:0015629;GO:0015629;GO:0015629;GO:0015629;GO:0048471;GO:0048471;GO:0048471;GO:0048471;GO:0097730;GO:0097730;GO:0097730;GO:0097730;GO:0031105;GO:0031105;GO:0031105;GO:0031105;GO:0015630;GO:0015630;GO:0015630;GO:0015630;GO:0005940;GO:0005940;GO:0005940;GO:0005940;GO:0032153;GO:0032153;GO:0032153;GO:0032153
SERAC1	GO:0005739;GO:0005783;GO:0016020;GO:0031012;GO:0044233
SERBP1	GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:0048471;GO:0048471;GO:0048471;GO:0070062;GO:0070062;GO:0070062
SERF1A	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0032991;GO:0032991;GO:0032991;GO:0032991;GO:0032991;GO:0032991
SERF2	GO:0005634;GO:0005634;GO:0005829;GO:0005829
SERGEF	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829
SERHL	GO:0005575;GO:0005575
SERHL2	GO:0005575;GO:0005575;GO:0005777;GO:0005777;GO:0048471;GO:0048471
SERINC1	GO:0005789;GO:0005789;GO:0005789;GO:0005789;GO:0005789;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020
SERINC2	GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0016020;GO:0016020;GO:0016020;GO:0016020
SERINC3	GO:0000139;GO:0000139;GO:0000139;GO:0000139;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0048471;GO:0048471;GO:0048471;GO:0048471;GO:0016020;GO:0016020;GO:0016020;GO:0016020
SERINC4	GO:0016020
SERINC5	GO:0005794;GO:0005794;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0043209;GO:0043209;GO:0043231;GO:0043231;GO:0048471;GO:0048471;GO:0070062;GO:0070062;GO:0016020;GO:0016020
SERP1	GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0005829;GO:0005829;GO:0005840;GO:0005840;GO:0005881;GO:0005881
SERP2	GO:0005789;GO:0005789;GO:0005783;GO:0005783
SERPINA1	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005788;GO:0005788;GO:0005788;GO:0005788;GO:0005788;GO:0005794;GO:0005794;GO:0005794;GO:0005794;GO:0005794;GO:0030134;GO:0030134;GO:0030134;GO:0030134;GO:0030134;GO:0031093;GO:0031093;GO:0031093;GO:0031093;GO:0031093;GO:0033116;GO:0033116;GO:0033116;GO:0033116;GO:0033116;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:1904813;GO:1904813;GO:1904813;GO:1904813;GO:1904813
SERPINA10	GO:0005788;GO:0005788;GO:0005788;GO:0070062;GO:0070062;GO:0070062;GO:0005615;GO:0005615;GO:0005615
SERPINA11	GO:0005615
SERPINA12	GO:0005886;GO:0005615
SERPINA13P	GO:0005615;GO:0005615;GO:0005615
SERPINA2	GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615
SERPINA3	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0031093;GO:0031093;GO:0031093;GO:0031093;GO:0034774;GO:0034774;GO:0034774;GO:0034774;GO:0035578;GO:0035578;GO:0035578;GO:0035578;GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0072562;GO:0072562;GO:0072562;GO:0072562
SERPINA4	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0031089;GO:0031089;GO:0031089;GO:0070062;GO:0070062;GO:0070062
SERPINA5	GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0002080;GO:0002080;GO:0002080;GO:0002080;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0009897;GO:0009897;GO:0009897;GO:0009897;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0031091;GO:0031091;GO:0031091;GO:0031091;GO:0031094;GO:0031094;GO:0031094;GO:0031094;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0032991;GO:0032991;GO:0032991;GO:0032991;GO:0036024;GO:0036024;GO:0036024;GO:0036024;GO:0036025;GO:0036025;GO:0036025;GO:0036025;GO:0036026;GO:0036026;GO:0036026;GO:0036026;GO:0036027;GO:0036027;GO:0036027;GO:0036027;GO:0036028;GO:0036028;GO:0036028;GO:0036028;GO:0036029;GO:0036029;GO:0036029;GO:0036029;GO:0036030;GO:0036030;GO:0036030;GO:0036030;GO:0097181;GO:0097181;GO:0097181;GO:0097181;GO:0097182;GO:0097182;GO:0097182;GO:0097182;GO:0097183;GO:0097183;GO:0097183;GO:0097183
SERPINA6	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0070062;GO:0070062
SERPINA7	GO:0005576;GO:0005576;GO:0070062;GO:0070062;GO:0005615;GO:0005615
SERPINA9	GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0005615;GO:0005615;GO:0005615;GO:0005615
SERPINB1	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0034774;GO:0034774;GO:0034774;GO:0034774;GO:0036464;GO:0036464;GO:0036464;GO:0036464;GO:0044194;GO:0044194;GO:0044194;GO:0044194;GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0070062;GO:0070062;GO:0070062;GO:0070062
SERPINB10	GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0030667;GO:0030667;GO:0101003;GO:0101003;GO:0005615;GO:0005615
SERPINB11	GO:0005737;GO:0005615
SERPINB12	GO:0001533;GO:0005737;GO:0005886;GO:0101003;GO:0062023;GO:0005615
SERPINB13	GO:0005730;GO:0005730;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0016607;GO:0016607;GO:0043202;GO:0043202;GO:0070062;GO:0070062;GO:0005615;GO:0005615
SERPINB2	GO:0001533;GO:0001533;GO:0001533;GO:0005576;GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0005886;GO:0005615;GO:0005615;GO:0005615
SERPINB3	GO:0005576;GO:0005576;GO:0005576;GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0031410;GO:0031410;GO:0031410;GO:0031982;GO:0031982;GO:0031982;GO:0035578;GO:0035578;GO:0035578;GO:0070062;GO:0070062;GO:0070062;GO:0005615;GO:0005615;GO:0005615
SERPINB4	GO:0005737;GO:0005737;GO:0005737;GO:0005615;GO:0005615;GO:0005615
SERPINB5	GO:0001533;GO:0001533;GO:0005737;GO:0005737;GO:0016528;GO:0016528;GO:0005615;GO:0005615
SERPINB6	GO:0005634;GO:0005634;GO:0005634;GO:0005576;GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0030667;GO:0030667;GO:0030667;GO:0062023;GO:0062023;GO:0062023;GO:0070062;GO:0070062;GO:0070062;GO:0070821;GO:0070821;GO:0070821;GO:0101003;GO:0101003;GO:0101003;GO:0097180;GO:0097180;GO:0097180;GO:0005615;GO:0005615;GO:0005615
SERPINB7	GO:0005737;GO:0005615
SERPINB8	GO:0005829;GO:0005829;GO:0062023;GO:0062023;GO:0070062;GO:0070062;GO:0005615;GO:0005615;GO:0005737;GO:0005737
SERPINB9	GO:0005615;GO:0005615;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005794;GO:0005794;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0062023;GO:0062023;GO:0070062;GO:0070062
SERPINC1	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0005788;GO:0005886;GO:0005886;GO:0005886;GO:0070062;GO:0070062;GO:0070062;GO:0072562;GO:0072562;GO:0072562;GO:0062023;GO:0062023;GO:0062023
SERPIND1	GO:0005576;GO:0005576;GO:0005788;GO:0005788;GO:0070062;GO:0070062;GO:0005615;GO:0005615
SERPINE1	GO:0062023;GO:0062023;GO:0062023;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0005886;GO:0031093;GO:0031093;GO:0031093;GO:0070062;GO:0070062;GO:0070062;GO:0097180;GO:0097180;GO:0097180;GO:1904090;GO:1904090;GO:1904090
SERPINE2	GO:0062023;GO:0062023;GO:0062023;GO:0005576;GO:0005576;GO:0005576;GO:0005829;GO:0005829;GO:0005829;GO:0031091;GO:0031091;GO:0031091;GO:0031232;GO:0031232;GO:0031232;GO:0031594;GO:0031594;GO:0031594;GO:1903561;GO:1903561;GO:1903561;GO:0005615;GO:0005615;GO:0005615
SERPINE3	GO:0005615
SERPINF1	GO:0062023;GO:0062023;GO:0062023;GO:0005576;GO:0005576;GO:0005576;GO:0005604;GO:0005604;GO:0005604;GO:0005615;GO:0005615;GO:0005615;GO:0042470;GO:0042470;GO:0042470;GO:0043203;GO:0043203;GO:0043203;GO:0048471;GO:0048471;GO:0048471;GO:0070062;GO:0070062;GO:0070062
SERPINF2	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0009986;GO:0009986;GO:0009986;GO:0031093;GO:0031093;GO:0031093;GO:0070062;GO:0070062;GO:0070062;GO:0072562;GO:0072562;GO:0072562;GO:0005577;GO:0005577;GO:0005577;GO:0062023;GO:0062023;GO:0062023
SERPING1	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0005788;GO:0031093;GO:0031093;GO:0031093;GO:0070062;GO:0070062;GO:0070062;GO:0072562;GO:0072562;GO:0072562;GO:0062023;GO:0062023;GO:0062023
SERPINH1	GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005788;GO:0005788;GO:0005788;GO:0005788;GO:0005788;GO:0005788;GO:0005793;GO:0005793;GO:0005793;GO:0005793;GO:0005793;GO:0005793;GO:0045121;GO:0045121;GO:0045121;GO:0045121;GO:0045121;GO:0045121
SERPINI1	GO:0005615;GO:0005615;GO:0034774;GO:0034774;GO:0043025;GO:0043025;GO:0043204;GO:0043204;GO:0060205;GO:0060205;GO:0070062;GO:0070062
SERPINI2	GO:0070062;GO:0070062;GO:0070062;GO:0005615;GO:0005615;GO:0005615
SERTAD1	GO:0016528;GO:0016528;GO:0016528;GO:0005634;GO:0005634;GO:0005634
SERTAD2	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829
SERTAD3	GO:0005634;GO:0005634
SERTAD4	GO:0005634
SERTM1	GO:0016020;GO:0016020;GO:0043231;GO:0043231
SERTM2	GO:0016020;GO:0043231
SESN1	GO:0001650;GO:0001650;GO:0001650;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829
SESN2	GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005829;GO:0005829;GO:0005829;GO:1990316;GO:1990316;GO:1990316
SESN3	GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0031932;GO:0031932
SESTD1	GO:0045111;GO:0045111
SET	GO:0005634;GO:0005654;GO:0005737;GO:0005783;GO:0005811;GO:0005829;GO:0048471;GO:0032991;GO:0000785
SETBP1	GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0016604;GO:0016604
SETD1A	GO:0000785;GO:0000785;GO:0000785;GO:0000785;GO:0000785;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0048188;GO:0048188;GO:0048188;GO:0048188;GO:0048188;GO:0035097;GO:0035097;GO:0035097;GO:0035097;GO:0035097
SETD1B	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0048188;GO:0048188;GO:0048188;GO:0048188;GO:0035097;GO:0035097;GO:0035097;GO:0035097
SETD2	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005694
SETD3	GO:0000785;GO:0000785;GO:0005654;GO:0005654;GO:0005737;GO:0005737
SETD4	GO:0005634;GO:0005634;GO:0005634;GO:0005829;GO:0005829;GO:0005829
SETD5	GO:0000791;GO:0000791;GO:0005634;GO:0005634;GO:0005654;GO:0005654
SETD6	GO:0005634;GO:0005654;GO:0005829
SETD7	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634
SETD9	GO:0005654;GO:0005654
SETDB1	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0043231;GO:0043231;GO:0043231;GO:0043231
SETDB2	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0005829;GO:0005829;GO:0005829;GO:0005829
SETMAR	GO:0000793;GO:0005634;GO:0005730;GO:0035861
SETSIP	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005811;GO:0005811;GO:0000785;GO:0000785
SETX	GO:0000228;GO:0000228;GO:0000228;GO:0000228;GO:0000781;GO:0000781;GO:0000781;GO:0000781;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0030426;GO:0030426;GO:0030426;GO:0030426;GO:0045171;GO:0045171;GO:0045171;GO:0045171
SEZ6	GO:0005886;GO:0048471;GO:0097440;GO:0043198;GO:0005783;GO:0043025;GO:0043197
SEZ6L	GO:0005789;GO:0005789;GO:0005789;GO:0043025;GO:0043025;GO:0043025;GO:0005783;GO:0005783;GO:0005783
