A0A0G2JPB7	GO:0009897;GO:0009897
ABCD3	GO:0005739;GO:0005739;GO:0005739;GO:0005777;GO:0005777;GO:0005777;GO:0005778;GO:0005778;GO:0005778;GO:0005782;GO:0005782;GO:0005782;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:0043231;GO:0043231;GO:0043231
ABCD4	GO:0005777;GO:0005777;GO:0005765;GO:0005765;GO:0005789;GO:0005789;GO:0016020;GO:0016020;GO:0043190;GO:0043190;GO:0005778;GO:0005778
ABCE1	GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005759;GO:0005759;GO:0005759;GO:0005759;GO:0005759;GO:0005759;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020
ABCF1	GO:0005635;GO:0005635;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0016020;GO:0016020
ABCF2	GO:0016020;GO:0016020
ABCF3	GO:0016020
ABCG1	GO:0000139;GO:0000139;GO:0000139;GO:0005739;GO:0005739;GO:0005739;GO:0005768;GO:0005768;GO:0005768;GO:0005789;GO:0005789;GO:0005789;GO:0005794;GO:0005794;GO:0005794;GO:0005886;GO:0005886;GO:0005886;GO:0009897;GO:0009897;GO:0009897;GO:0055037;GO:0055037;GO:0055037
ABCG2	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016324;GO:0016324;GO:0016324;GO:0016324;GO:0016324;GO:0031526;GO:0031526;GO:0031526;GO:0031526;GO:0031526;GO:0031966;GO:0031966;GO:0031966;GO:0031966;GO:0031966;GO:0045121;GO:0045121;GO:0045121;GO:0045121;GO:0045121;GO:0098591;GO:0098591;GO:0098591;GO:0098591;GO:0098591
ABCG4	GO:0005886;GO:0005886;GO:0010008;GO:0010008;GO:0031410;GO:0031410
ABCG5	GO:0005886;GO:0016324;GO:0043190;GO:0043235
ABCG8	GO:0005886;GO:0016324;GO:0043190;GO:0043235
ABHD1	GO:0016020;GO:0016020
ABHD10	GO:0005739;GO:0005759;GO:0005829
ABHD11	GO:0005575;GO:0005575;GO:0005575;GO:0005739;GO:0005739;GO:0005739
ABHD12	GO:0005789;GO:0005789;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0032839;GO:0032839;GO:0032281;GO:0032281
ABHD12B	GO:0005789;GO:0005789
ABHD13	GO:0016020;GO:0016020;GO:0032839;GO:0032839
ABHD14A	GO:0016020;GO:0016020;GO:0005737;GO:0005737
ABHD14B	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005829;GO:0005829;GO:0070062;GO:0070062;GO:0005737;GO:0005737
ABHD15	GO:0005576;GO:0005576;GO:0016020;GO:0016020
ABHD16B	GO:0005654;GO:0005654
ABHD17A	GO:0005886;GO:0005886;GO:0005886;GO:0010008;GO:0010008;GO:0010008;GO:0016020;GO:0016020;GO:0016020;GO:0016607;GO:0016607;GO:0016607;GO:0043197;GO:0043197;GO:0043197;GO:0043231;GO:0043231;GO:0043231;GO:0055038;GO:0055038;GO:0055038;GO:0098839;GO:0098839;GO:0098839;GO:0098944;GO:0098944;GO:0098944;GO:0098978;GO:0098978;GO:0098978
ABHD17B	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0043197;GO:0043197;GO:0043197;GO:0043197;GO:0055038;GO:0055038;GO:0055038;GO:0055038;GO:0098839;GO:0098839;GO:0098839;GO:0098839;GO:0010008;GO:0010008;GO:0010008;GO:0010008
ABHD17C	GO:0005886;GO:0005886;GO:0043197;GO:0043197;GO:0055038;GO:0055038;GO:0098839;GO:0098839;GO:0098978;GO:0098978;GO:0010008;GO:0010008
ABHD18	GO:0005576;GO:0005576
ABHD2	GO:0001669;GO:0001669;GO:0036126;GO:0036126;GO:0097524;GO:0097524
ABHD3	GO:0005575;GO:0005886
ABHD4	GO:0005789;GO:0005811
ABHD5	GO:0005654;GO:0005654;GO:0005654;GO:0005811;GO:0005811;GO:0005811;GO:0005829;GO:0005829;GO:0005829;GO:0043231;GO:0043231;GO:0043231
ABHD6	GO:0005765;GO:0005886;GO:0016020;GO:0031902;GO:0031966;GO:0045211;GO:0098978;GO:0098982;GO:0032281;GO:0005739
ABHD8	GO:0070062
ABI1	GO:0005634;GO:0005634;GO:0005783;GO:0005783;GO:0005829;GO:0005829;GO:0005856;GO:0005856;GO:0014069;GO:0014069;GO:0030027;GO:0030027;GO:0030426;GO:0030426;GO:0032433;GO:0032433;GO:0070062;GO:0070062;GO:0031209;GO:0031209;GO:0005622;GO:0005622
ABI2	GO:0043197;GO:0043197;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005856;GO:0005856;GO:0005912;GO:0005912;GO:0030027;GO:0030027;GO:0032433;GO:0032433;GO:0031209;GO:0031209
ABI3	GO:0005737;GO:0005737;GO:0014069;GO:0014069;GO:0016020;GO:0016020;GO:0030027;GO:0030027;GO:0043197;GO:0043197;GO:0043198;GO:0043198;GO:0031209;GO:0031209
ABI3BP	GO:0062023;GO:0062023;GO:0062023;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615
ABITRAM	GO:0016607;GO:0016607;GO:0016607;GO:0030027;GO:0030027;GO:0030027;GO:0030426;GO:0030426;GO:0030426;GO:0032433;GO:0032433;GO:0032433;GO:0030425;GO:0030425;GO:0030425;GO:0005634;GO:0005634;GO:0005634
ABL1	GO:0001726;GO:0001726;GO:0001726;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005783;GO:0005783;GO:0005783;GO:0005829;GO:0005829;GO:0005829;GO:0015629;GO:0015629;GO:0015629;GO:0016604;GO:0016604;GO:0016604;GO:0030425;GO:0030425;GO:0030425;GO:0030426;GO:0030426;GO:0030426;GO:0031965;GO:0031965;GO:0031965;GO:0043025;GO:0043025;GO:0043025;GO:0048471;GO:0048471;GO:0048471;GO:0098794;GO:0098794;GO:0098794;GO:0032991;GO:0032991;GO:0032991
ABL2	GO:0005829;GO:0005829;GO:0005829;GO:0015629;GO:0015629;GO:0015629
ABLIM1	GO:0001725;GO:0001725;GO:0001725;GO:0001725;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0030027;GO:0030027;GO:0030027;GO:0030027;GO:0015629;GO:0015629;GO:0015629;GO:0015629
ABLIM2	GO:0005737;GO:0005737;GO:0015629;GO:0015629
ABLIM3	GO:0001725;GO:0001725;GO:0001725;GO:0005737;GO:0005737;GO:0005737;GO:0030027;GO:0030027;GO:0030027;GO:0098978;GO:0098978;GO:0098978;GO:0015629;GO:0015629;GO:0015629
ABO	GO:0000139;GO:0005576;GO:0032580;GO:0031982;GO:0005794
ABR	GO:0005829;GO:0016020;GO:0030424;GO:0043197;GO:0098685;GO:0098978
ABRA	GO:0005886;GO:0015629;GO:0030017
ABRAXAS1	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0070531;GO:0070531;GO:0070531;GO:0070531;GO:0070531
ABRAXAS2	GO:0005813;GO:0005813;GO:0005813;GO:0005813;GO:0030496;GO:0030496;GO:0030496;GO:0030496;GO:0031616;GO:0031616;GO:0031616;GO:0031616;GO:0036449;GO:0036449;GO:0036449;GO:0036449;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0070552;GO:0070552;GO:0070552;GO:0070552;GO:0005634;GO:0005634;GO:0005634;GO:0005634
ABT1	GO:0005634;GO:0005667;GO:0005730
ABTB1	GO:0005730;GO:0005730;GO:0005730;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005737;GO:0005737;GO:0005737;GO:0000151;GO:0000151;GO:0000151
ABTB3	GO:0016020;GO:0016020
ACAA1	GO:0005777;GO:0005777;GO:0005777;GO:0005576;GO:0005576;GO:0005576;GO:0005782;GO:0005782;GO:0005782;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:0035580;GO:0035580;GO:0035580
ACAA2	GO:0005739;GO:0005759
ACACA	GO:0001650;GO:0001650;GO:0001650;GO:0001650;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0015629;GO:0015629;GO:0015629;GO:0015629;GO:0005739;GO:0005739;GO:0005739;GO:0005739
ACACB	GO:0005634;GO:0005634;GO:0005634;GO:0005739;GO:0005739;GO:0005739;GO:0005741;GO:0005741;GO:0005741;GO:0005829;GO:0005829;GO:0005829
ACAD10	GO:0005739;GO:0005759;GO:0005737
ACAD11	GO:0005634;GO:0005743;GO:0005777;GO:0031966;GO:0005739;GO:0005737
ACAD8	GO:0005759;GO:0005759;GO:0005759
ACAD9	GO:0005634;GO:0005739;GO:0005743;GO:0030425;GO:0031966
ACADL	GO:0005759;GO:0031966;GO:0005737;GO:0005739
ACADM	GO:0005634;GO:0005739;GO:0005759;GO:0030424;GO:0031966;GO:0005737
ACADS	GO:0005634;GO:0005654;GO:0005739;GO:0005759;GO:0005813
ACADSB	GO:0005739;GO:0005759
ACADVL	GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005739;GO:0005739;GO:0005759;GO:0005759;GO:0031314;GO:0031314;GO:0031966;GO:0031966;GO:0042645;GO:0042645
ACAN	GO:0062023;GO:0062023;GO:0062023;GO:0062023;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005796;GO:0005796;GO:0005796;GO:0005796;GO:0043202;GO:0043202;GO:0043202;GO:0043202
ACAP1	GO:0016020;GO:0016020;GO:0016020;GO:0055038;GO:0055038;GO:0055038
ACAP2	GO:0001726;GO:0001726;GO:0001726;GO:0010008;GO:0010008;GO:0010008;GO:0016020;GO:0016020;GO:0016020
ACAP3	GO:0030426;GO:0030426;GO:0030426
ACAT1	GO:0005739;GO:0005739;GO:0005739;GO:0005759;GO:0005759;GO:0005759;GO:0070062;GO:0070062;GO:0070062
ACAT2	GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0070062;GO:0070062;GO:0005739;GO:0005739
ACBD3	GO:0000139;GO:0000139;GO:0000139;GO:0000139;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005794;GO:0005794;GO:0005794;GO:0005794;GO:0016020;GO:0016020;GO:0016020;GO:0016020
ACBD4	GO:0005737;GO:0005737
ACBD5	GO:0005654;GO:0005654;GO:0005777;GO:0005777;GO:0005778;GO:0005778;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0005737;GO:0005737
ACBD6	GO:0005829
ACD	GO:0000781;GO:0000781;GO:0000781;GO:0000781;GO:0000781;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0070187;GO:0070187;GO:0070187;GO:0070187;GO:0070187;GO:0000783;GO:0000783;GO:0000783;GO:0000783;GO:0000783;GO:0005697;GO:0005697;GO:0005697;GO:0005697;GO:0005697
ACE	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005764;GO:0005764;GO:0005764;GO:0005768;GO:0005768;GO:0005768;GO:0005886;GO:0005886;GO:0005886;GO:0009897;GO:0009897;GO:0009897;GO:0009925;GO:0009925;GO:0009925;GO:0031526;GO:0031526;GO:0031526;GO:0070062;GO:0070062;GO:0070062;GO:0097225;GO:0097225;GO:0097225
ACE2	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0005886;GO:0005886;GO:0005929;GO:0005929;GO:0009986;GO:0009986;GO:0030666;GO:0030666;GO:0045121;GO:0045121;GO:0070062;GO:0070062;GO:0016324;GO:0016324;GO:0031526;GO:0031526
ACER1	GO:0005783;GO:0005783;GO:0005789;GO:0005789
ACER2	GO:0000139;GO:0000139;GO:0000139;GO:0005794;GO:0005794;GO:0005794
ACER3	GO:0000139;GO:0000139;GO:0000139;GO:0005789;GO:0005789;GO:0005789;GO:0016020;GO:0016020;GO:0016020
ACHE	GO:0005576;GO:0005604;GO:0005615;GO:0005634;GO:0005794;GO:0005886;GO:0009986;GO:0016020;GO:0031594;GO:0043083;GO:0045202;GO:0048471
ACIN1	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0016607;GO:0016607;GO:0016607;GO:0061574;GO:0061574;GO:0061574
ACKR1	GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0055037;GO:0055037;GO:0055037;GO:0055037
ACKR2	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005884;GO:0005884;GO:0005884;GO:0005884;GO:0005884;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0031965;GO:0031965;GO:0031965;GO:0031965;GO:0031965;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0055037;GO:0055037;GO:0055037;GO:0055037;GO:0055037
ACKR3	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005768;GO:0005768;GO:0005768;GO:0005768;GO:0005768;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005905;GO:0005905;GO:0005905;GO:0005905;GO:0005905;GO:0009986;GO:0009986;GO:0009986;GO:0009986;GO:0009986;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0055037;GO:0055037;GO:0055037;GO:0055037;GO:0055037
ACKR4	GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0055037;GO:0055037;GO:0055037;GO:0055037;GO:0055037
ACLY	GO:0005576;GO:0005654;GO:0005829;GO:0016020;GO:0035578;GO:0070062;GO:1904813
ACMSD	GO:0005829;GO:0005737
ACO1	GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005783;GO:0005783;GO:0005794;GO:0005794;GO:0005829;GO:0005829;GO:0070062;GO:0070062
ACO2	GO:0005739;GO:0005759;GO:0005829
ACOD1	GO:0005739;GO:0005739
ACOT1	GO:0005829;GO:0005829
ACOT11	GO:0005759;GO:0005759;GO:0005759;GO:0005759;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0070062;GO:0070062;GO:0070062;GO:0070062
ACOT12	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0045171;GO:0045171;GO:0045171;GO:0045171
