ABCC1	GO:0006691;GO:0006805;GO:0009410;GO:0015698;GO:0015889;GO:0034599;GO:0042167;GO:0042908;GO:0045332;GO:0050729;GO:0055085;GO:0060326;GO:0070633;GO:0071716;GO:0099039;GO:0140115;GO:0150104;GO:1904646;GO:1905039;GO:1990962;GO:0034775
ABCC10	GO:0006691;GO:0006869;GO:0015698;GO:0042908;GO:0055085;GO:0071716
ABCC11	GO:0015698;GO:0015711;GO:0015721;GO:0015865;GO:0042908;GO:0055085;GO:0071716
ABCC12	GO:0055085
ABCC2	GO:0006805;GO:0006855;GO:0010629;GO:0015698;GO:0015721;GO:0015723;GO:0042167;GO:0046618;GO:0055085;GO:0070633;GO:0071716;GO:0150104;GO:1990962
ABCC3	GO:0006805;GO:0006855;GO:0015698;GO:0015721;GO:0015779;GO:0042908;GO:0055085;GO:0071716;GO:0150104
ABCC4	GO:0032310;GO:0060271;GO:0002576;GO:0006805;GO:0006855;GO:0015698;GO:0015721;GO:0015732;GO:0015747;GO:0034775;GO:0055085;GO:0070730;GO:0071716;GO:0140115;GO:0150104;GO:1903790
ABCC5	GO:0006805;GO:0006855;GO:0015698;GO:0015865;GO:0030213;GO:0034775;GO:0035351;GO:0042908;GO:0055085;GO:0070730;GO:0070731;GO:0098838;GO:0140115;GO:0150104
ABCC6	GO:0007601;GO:0009410;GO:0010467;GO:0015867;GO:0030505;GO:0030643;GO:0032026;GO:0046034;GO:0055062;GO:0055074;GO:0055085;GO:0071716;GO:1904383
ABCC7	GO:0006695;GO:0006904;GO:0015701;GO:0030301;GO:0034976;GO:0035377;GO:0035774;GO:0045921;GO:0048240;GO:0050891;GO:0051454;GO:0051649;GO:0055085;GO:0060081;GO:0070175;GO:0071320;GO:0097186;GO:1902161;GO:1902476;GO:1902943;GO:1904322
ABCC8	GO:0001678;GO:0006813;GO:0007565;GO:0007613;GO:0008542;GO:0009268;GO:0009410;GO:0010043;GO:0010989;GO:0016525;GO:0032496;GO:0032760;GO:0032868;GO:0035774;GO:0046676;GO:0060253;GO:0061045;GO:0061855;GO:0071310;GO:0071805;GO:0098662;GO:1900721;GO:1903818;GO:1905075;GO:1905604;GO:1990573;GO:0055085
ABCC9	GO:0051607;GO:0015698;GO:0033198;GO:0045776;GO:0055085;GO:0061337;GO:0071805;GO:0086003;GO:0098655;GO:0098662;GO:0150104;GO:1903760;GO:1990573
ABCD1	GO:0000038;GO:0002082;GO:0006635;GO:0007031;GO:0015910;GO:0015916;GO:0015919;GO:0030497;GO:0031998;GO:0032000;GO:0036109;GO:0036113;GO:0042758;GO:0042760;GO:0043217;GO:0043651;GO:0051900;GO:0055089;GO:0055092;GO:1900016;GO:1900407;GO:1903427;GO:1990535;GO:2001280
ABCD2	GO:0000038;GO:0006635;GO:0009617;GO:0032000;GO:0042760;GO:0043217;GO:1900016;GO:1903427;GO:1990535;GO:2001280;GO:0007031;GO:0015910
ABCD3	GO:0000038;GO:0006633;GO:0006635;GO:0006699;GO:0007031;GO:0009410;GO:0014070;GO:0015721;GO:0015910;GO:0042760;GO:1903512
ABCD4	GO:0009235;GO:0015889;GO:0055085;GO:1990830;GO:0006635;GO:0042760;GO:0007031;GO:0015910
ABCE1	GO:0006417;GO:0060702;GO:0006415;GO:0006413;GO:0000054
ABCF1	GO:0006412;GO:0006954
ABCF3	GO:0051607
ABCG1	GO:0008203;GO:0010033;GO:0010745;GO:0010875;GO:0010887;GO:0032367;GO:0033344;GO:0033700;GO:0033993;GO:0034204;GO:0034374;GO:0034375;GO:0034436;GO:0042632;GO:0042987;GO:0043691;GO:0045542;GO:0050714;GO:0055091;GO:0071403;GO:0090181;GO:0120009;GO:1901998;GO:1902004;GO:0055085
ABCG2	GO:0006869;GO:0015711;GO:0015747;GO:0015878;GO:0032218;GO:0046415;GO:0055085;GO:0070633;GO:0097744;GO:0140115;GO:0150104;GO:1990748;GO:1990962
ABCG4	GO:0006355;GO:0010875;GO:0033344;GO:0042632;GO:0045542;GO:0071403;GO:1990830;GO:0055085
