A0A0G2JPB7	GO:0005102;GO:0005102
ABCG8	GO:0005524;GO:0016887;GO:0120020;GO:0005515;GO:0042626;GO:0046872;GO:0046982;GO:0140359
ABHD1	GO:0003674;GO:0003674;GO:0005515;GO:0005515;GO:0047372;GO:0047372;GO:0008126;GO:0008126
ABHD10	GO:0004553;GO:0008474;GO:0102390
ABHD11	GO:0003674;GO:0003674;GO:0003674;GO:0016787;GO:0016787;GO:0016787
ABHD12	GO:0004620;GO:0004620;GO:0004622;GO:0004622;GO:0047372;GO:0047372
ABHD12B	GO:0047372;GO:0047372;GO:0004622;GO:0004622
ABHD13	GO:0008474;GO:0008474
ABHD14A	GO:0016787;GO:0016787
ABHD14B	GO:0005515;GO:0005515;GO:0016746;GO:0016746;GO:0016787;GO:0016787
ABHD15	GO:0005515;GO:0005515;GO:0034338;GO:0034338;GO:0047372;GO:0047372
ABHD16A	GO:0004622;GO:0004622;GO:0004622;GO:0004622;GO:0004622;GO:0004620;GO:0004620;GO:0004620;GO:0004620;GO:0004620;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0047372;GO:0047372;GO:0047372;GO:0047372;GO:0047372
ABHD16B	GO:0004620;GO:0004620;GO:0047372;GO:0047372
ABHD17A	GO:0005515;GO:0005515;GO:0005515;GO:0008474;GO:0008474;GO:0008474
ABHD17B	GO:0008236;GO:0008236;GO:0008236;GO:0008236;GO:0008474;GO:0008474;GO:0008474;GO:0008474
ABHD17C	GO:0005515;GO:0005515;GO:0008474;GO:0008474
ABHD2	GO:0003707;GO:0003707;GO:0004806;GO:0004806;GO:0008126;GO:0008126;GO:0033878;GO:0033878;GO:0042562;GO:0042562;GO:0047372;GO:0047372
ABHD3	GO:0004623;GO:0008970;GO:0052739;GO:0052740;GO:0047372;GO:0008126
ABHD4	GO:0005515;GO:0016787;GO:0004622;GO:0042171
ABHD5	GO:0004806;GO:0004806;GO:0004806;GO:0003841;GO:0003841;GO:0003841;GO:0005515;GO:0005515;GO:0005515;GO:0042171;GO:0042171;GO:0042171;GO:0052689;GO:0052689;GO:0052689
ABHD6	GO:0004620;GO:0005515;GO:0047372
ABHD8	GO:0005515;GO:0016787
ABI1	GO:0005515;GO:0005515;GO:0008092;GO:0008092;GO:0017124;GO:0017124;GO:0030296;GO:0030296;GO:0035591;GO:0035591;GO:0045296;GO:0045296
ABI2	GO:0031267;GO:0031267;GO:0005515;GO:0005515;GO:0008093;GO:0008093;GO:0017124;GO:0017124;GO:0019900;GO:0019900;GO:0031625;GO:0031625;GO:0035591;GO:0035591;GO:0042802;GO:0042802;GO:0070064;GO:0070064
ABI3	GO:0005515;GO:0005515;GO:0042802;GO:0042802;GO:0051015;GO:0051015;GO:0017124;GO:0017124
ABI3BP	GO:0005201;GO:0005201;GO:0005201
ABITRAM	GO:0003785;GO:0003785;GO:0003785;GO:0005515;GO:0005515;GO:0005515;GO:0051015;GO:0051015;GO:0051015
ABL1	GO:0097100;GO:0097100;GO:0097100;GO:0000287;GO:0000287;GO:0000287;GO:0000400;GO:0000400;GO:0000400;GO:0000405;GO:0000405;GO:0000405;GO:0001784;GO:0001784;GO:0001784;GO:0003677;GO:0003677;GO:0003677;GO:0003713;GO:0003713;GO:0003713;GO:0003785;GO:0003785;GO:0003785;GO:0004515;GO:0004515;GO:0004515;GO:0004672;GO:0004672;GO:0004672;GO:0004713;GO:0004713;GO:0004713;GO:0004715;GO:0004715;GO:0004715;GO:0005080;GO:0005080;GO:0005080;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0016301;GO:0016301;GO:0016301;GO:0017124;GO:0017124;GO:0017124;GO:0019905;GO:0019905;GO:0019905;GO:0030145;GO:0030145;GO:0030145;GO:0038191;GO:0038191;GO:0038191;GO:0042169;GO:0042169;GO:0042169;GO:0043621;GO:0043621;GO:0043621;GO:0046875;GO:0046875;GO:0046875;GO:0051015;GO:0051015;GO:0051015;GO:0051019;GO:0051019;GO:0051019;GO:0070064;GO:0070064;GO:0070064;GO:0070097;GO:0070097;GO:0070097;GO:1990837;GO:1990837;GO:1990837
ABL2	GO:0000287;GO:0000287;GO:0000287;GO:0001784;GO:0001784;GO:0001784;GO:0003785;GO:0003785;GO:0003785;GO:0004672;GO:0004672;GO:0004672;GO:0004713;GO:0004713;GO:0004713;GO:0004715;GO:0004715;GO:0004715;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0030145;GO:0030145;GO:0030145;GO:0051015;GO:0051015;GO:0051015
ABLIM1	GO:0003779;GO:0003779;GO:0003779;GO:0003779;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0046872;GO:0046872;GO:0046872;GO:0046872;GO:0051015;GO:0051015;GO:0051015;GO:0051015
ABLIM2	GO:0046872;GO:0046872;GO:0051015;GO:0051015
ABLIM3	GO:0005515;GO:0005515;GO:0005515;GO:0046872;GO:0046872;GO:0046872;GO:0051015;GO:0051015;GO:0051015
ABO	GO:0000166;GO:0003823;GO:0004380;GO:0004381;GO:0030145
ABR	GO:0005085;GO:0005096;GO:0005515
ABRA	GO:0003779;GO:0005515
ABRAXAS1	GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0031593;GO:0031593;GO:0031593;GO:0031593;GO:0031593;GO:0008017;GO:0008017;GO:0008017;GO:0008017;GO:0008017
ABRAXAS2	GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0008017;GO:0008017;GO:0008017;GO:0008017;GO:0031593;GO:0031593;GO:0031593;GO:0031593
ABT1	GO:0003677;GO:0003713;GO:0003723;GO:0005515
ABTB1	GO:0003746;GO:0003746;GO:0003746;GO:0005515;GO:0005515;GO:0005515
