ABO	GO:0000139;GO:0005576;GO:0032580;GO:0031982;GO:0005794
ABP1	GO:0005576;GO:0005615;GO:0005777;GO:0005886;GO:0005923;GO:0035580;GO:0070062
ABP32	GO:0005737;GO:0005783;GO:0070062;GO:0030127;GO:0031463
ABP620	GO:0005737;GO:0005794;GO:0005856;GO:0005874;GO:0005886;GO:0032587;GO:0005882;GO:0016020;GO:0015629
ABPL	GO:0005737;GO:0005829;GO:0005856;GO:0005886;GO:0005925;GO:0030018;GO:0042383;GO:0043034
ABR	GO:0005829;GO:0016020;GO:0030424;GO:0043197;GO:0098685;GO:0098978
ABRA	GO:0005886;GO:0015629;GO:0030017
ABRA1	GO:0005634;GO:0005654;GO:0016604;GO:0070531
ABRAXAS1	GO:0005634;GO:0005654;GO:0016604;GO:0070531
ABRAXAS2	GO:0005813;GO:0030496;GO:0031616;GO:0036449;GO:0005737;GO:0005829;GO:0070552;GO:0005634
ABRO1	GO:0005813;GO:0030496;GO:0031616;GO:0036449;GO:0005737;GO:0005829;GO:0070552;GO:0005634
ABS	GO:0005634;GO:0005829;GO:0016020;GO:0071013;GO:0005681
ABT1	GO:0005634;GO:0005667;GO:0005730
ABTAP	GO:0005615;GO:0005654;GO:0005730
ABTB1	GO:0005730;GO:0005829;GO:0005886;GO:0005737;GO:0000151
ABTB3	GO:0016020
ACAA	GO:0005777;GO:0005576;GO:0005782;GO:0005829;GO:0016020;GO:0035580
ACAA1	GO:0005777;GO:0005576;GO:0005782;GO:0005829;GO:0016020;GO:0035580
ACAA2	GO:0005739;GO:0005759
ACAC	GO:0001650;GO:0005829;GO:0015629;GO:0005739
ACACA	GO:0001650;GO:0005829;GO:0015629;GO:0005739
ACACB	GO:0005634;GO:0005739;GO:0005741;GO:0005829
ACACT	GO:0005783;GO:0005789;GO:0016020
ACACT1	GO:0005783;GO:0005789;GO:0016020
ACACT2	GO:0005783;GO:0005789;GO:0005903
ACAD10	GO:0005739;GO:0005759;GO:0005737
ACAD11	GO:0005634;GO:0005743;GO:0005777;GO:0031966;GO:0005739;GO:0005737
ACAD8	GO:0005759
ACAD9	GO:0005634;GO:0005739;GO:0005743;GO:0030425;GO:0031966
ACADL	GO:0005759;GO:0031966;GO:0005737;GO:0005739
ACADM	GO:0005634;GO:0005739;GO:0005759;GO:0030424;GO:0031966;GO:0005737
ACADS	GO:0005634;GO:0005654;GO:0005739;GO:0005759;GO:0005813
ACADSB	GO:0005739;GO:0005759
ACADVL	GO:0005654;GO:0005730;GO:0005739;GO:0005759;GO:0031314;GO:0031966;GO:0042645
